book_title,authors,collection_status,reading_status,favorite,next_read
A Amiga Genial,Elena Ferrante,in_collection,read,no,no
A Breve Vida das Flores,Valérie Perrin,in_collection,read,no,no
A Condição Humana,Hannah Arendt,in_collection,unread,no,no
A Década dos Psicopatas,Daniel Oliveira,in_collection,read,no,no
A Fábrica do Absoluto,Karel Čapek,in_collection,read,no,no
A Fúria,Silvina Ocampo,in_collection,read,no,no
A Geração da Utopia,Pepetela,in_collection,unread,no,no
A Insustentável Leveza do Ser,Milan Kundera,in_collection,read,no,no
A Invenção de Morel,Adolfo Bioy Casares,in_collection,unread,no,no
A Laranja Mecânica,Anthony Burgess,in_collection,unread,no,no
A Man Called Ove,Fredrik Backman,in_collection,read,no,no
A Manual For Cleaning Women,Lucia Berlin,in_collection,read,no,no
A Metamorfose,Franz Kafka,not_in_collection,read,no,no
A morte de Ivan Ilich,Lev Tolstoi,in_collection,read,no,no
A Moveable Feast,Ernest Hemingway,in_collection,unread,no,no
A Máquina de Fazer Espanhóis,Valter Hugo Mãe,in_collection,read,yes,no
A Origem,Graça Pina de Morais,in_collection,unread,no,no
A Paixão segundo G.H.,Clarice Lispector,in_collection,read,no,no
A Psicologia do Amor,Irvin D. Yalom,in_collection,unread,no,no
A Sociedade do Cansaço,Byung-Chul Han,in_collection,read,no,no
A Utilidade do Inútil,Nuccio Ordine,in_collection,unread,no,no
A voz do dono,Stanisław Lem,in_collection,unread,no,no
Adoecer,Hélia Correia,in_collection,unread,no,no
Apenas Miúdos,Patti Smith,in_collection,read,no,no
Apologia do Ócio,Robert Louis Stevenson,in_collection,unread,no,no
Aprender a Rezar na era da Técnica,Gonçalo M. Tavares,in_collection,unread,no,no
As Cores da Infâmia,Albert Cossery,in_collection,read,no,no
As Intermitências da Morte,José Saramago,in_collection,read,no,no
As Malditas,Camila Sosa Villada,in_collection,unread,no,no
As primas,Aurora Venturini,in_collection,unread,no,no
As Que não Morrem,Anne Boyer,in_collection,read,no,no
Assim Lhes Fazemos a Guerra,Joseph Andras,in_collection,read,no,no
Atirar para o torto,Margarida Vale de Gato,in_collection,read,no,no
Ballad for Sophie,Juan Cavia | Filipe Melo,in_collection,read,no,no
Beleza,Roger Scruton,in_collection,unread,no,no
Beloved,Toni Morrison,in_collection,read,no,no
Burnt Sugar,Avni Doshi,in_collection,read,no,no
Cartas a um Jovem Poeta,Rainer Maria Rilke,in_collection,read,no,no
Castas,Isabel Wilkerson,in_collection,read,no,no
Cem anos de solidão,Gabriel García Márquez,in_collection,read,no,no
