book_title,authors,edition_title_candidate,publisher,language,format_hint,in_collection
A Amiga Genial,Elena Ferrante,A Amiga Genial,Relógio D’Água,pt,print-unspecified,yes
A Breve Vida das Flores,Valérie Perrin,A Breve Vida das Flores,Presença,pt,print-unspecified,yes
A Condição Humana,Hannah Arendt,A Condição Humana,Relógio D’Água,pt,print-unspecified,yes
A Década dos Psicopatas,Daniel Oliveira,A Década dos Psicopatas,Tinta da China,pt,print-unspecified,yes
A Fábrica do Absoluto,Karel Čapek,A Fábrica do Absoluto,Antígona,pt,print-unspecified,yes
A Fúria,Silvina Ocampo,A Fúria,Antígona,pt,print-unspecified,yes
A Geração da Utopia,Pepetela,A Geração da Utopia,Livros RTP,pt,print-unspecified,yes
A Insustentável Leveza do Ser,Milan Kundera,A Insustentável Leveza do Ser,BIIS,pt,print-unspecified,yes
A Invenção de Morel,Adolfo Bioy Casares,A Invenção de Morel,Antígona,pt,print-unspecified,yes
A Laranja Mecânica,Anthony Burgess,A Laranja Mecânica,Alfaguara,pt,print-unspecified,yes
A Man Called Ove,Fredrik Backman,A Man Called Ove,Sceptre,sv,print-unspecified,yes
A Manual For Cleaning Women,Lucia Berlin,A Manual For Cleaning Women,Farrar Straus and Giroux,en,ebook,yes
A Metamorfose,Franz Kafka,A Metamorfose,Presença,,unknown,no
A morte de Ivan Ilich,Lev Tolstoi,A morte de Ivan Ilich,Verbo,pt,print-unspecified,yes
A Moveable Feast,Ernest Hemingway,A Moveable Feast,Vintage,en,print-unspecified,yes
A Máquina de Fazer Espanhóis,Valter Hugo Mãe,A Máquina de Fazer Espanhóis,,,unknown,yes
A Origem,Graça Pina de Morais,A Origem,Antígona,pt,print-unspecified,yes
A Paixão segundo G.H.,Clarice Lispector,A Paixão segundo G.H.,Relógio D’Água,pt,print-unspecified,yes
A Psicologia do Amor,Irvin D. Yalom,A Psicologia do Amor,Saída de Emergência,pt,print-unspecified,yes
A Sociedade do Cansaço,Byung-Chul Han,A Sociedade do Cansaço,Relógio D’Água,pt,print-unspecified,yes
A Utilidade do Inútil,Nuccio Ordine,A Utilidade do Inútil,Kalandraka,pt,print-unspecified,yes
A voz do dono,Stanisław Lem,A voz do dono,Antígona,pt,print-unspecified,yes
Adoecer,Hélia Correia,Adoecer,Relógio D’Água,pt,print-unspecified,yes
Apenas Miúdos,Patti Smith,Apenas Miúdos,Quetzal,pt,print-unspecified,yes
Apologia do Ócio,Robert Louis Stevenson,Apologia do Ócio,Antígona,pt,print-unspecified,yes
Aprender a Rezar na era da Técnica,Gonçalo M. Tavares,Aprender a Rezar na era da Técnica,Relógio D’Água,pt,print-unspecified,yes
As Cores da Infâmia,Albert Cossery,As Cores da Infâmia,Antígona,pt,print-unspecified,yes
As Intermitências da Morte,José Saramago,As Intermitências da Morte,Porto Editora,pt,print-unspecified,yes
As Malditas,Camila Sosa Villada,As Malditas,BCF,pt,print-unspecified,yes
As primas,Aurora Venturini,As primas,Alfaguara,pt,print-unspecified,yes
As Que não Morrem,Anne Boyer,As Que não Morrem,Tinta da China,pt,print-unspecified,yes
